id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,price,house age,age Category,estimated cost,profit_margin
6762815225,1970-01-01 00:00:00.000042491,4,2,1820,5000,1.5,False,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,650000,650000,81,very-old,273000,0.58
6762815461,1970-01-01 00:00:00.000042491,4,2,1520,6200,1.5,False,0,3,7,1520,0,1945,0,122006,52.908,-114.459,1910,6200,3,80,640000,640000,81,very-old,228000,0.64375
6762815654,1970-01-01 00:00:00.000042491,4,2,2710,37277,2.0,False,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,2390,39299,1,74,630000,630000,26,mid-aged,406500,0.3547619047619048
6762815737,1970-01-01 00:00:00.000042491,3,2,1750,1572,2.5,False,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,626000,626000,21,mid-aged,262500,0.5806709265175719
6762815748,1970-01-01 00:00:00.000042491,4,2,2820,8408,2.0,False,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,625000,625000,12,mid-aged,423000,0.3232
6762815749,1970-01-01 00:00:00.000042491,4,3,2730,54014,1.0,False,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,625000,625000,19,mid-aged,409500,0.3448
6762815986,1970-01-01 00:00:00.000042491,3,1,2360,7291,1.0,False,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,615000,615000,78,very-old,354000,0.424390243902439
6762816059,1970-01-01 00:00:00.000042491,4,2,2730,12261,2.0,False,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2730,10872,2,70,612500,612500,35,old,409500,0.3314285714285714
6762816236,1970-01-01 00:00:00.000042491,3,2,3240,33151,2.0,False,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,4050,24967,1,71,604000,604000,31,old,486000,0.19536423841059603
6762816633,1970-01-01 00:00:00.000042491,3,1,2330,14892,1.0,False,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,2570,14217,1,60,588500,588500,46,old,349500,0.40611724723874254
6762817449,1970-01-01 00:00:00.000042491,4,2,3310,6500,2.0,False,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2380,5000,2,80,555000,555000,14,mid-aged,496500,0.10540540540540541
6762817570,1970-01-01 00:00:00.000042491,4,2,1940,10500,1.0,False,0,4,7,1140,800,1976,0,122005,52.913,-114.304,2200,10500,1,58,550000,550000,50,old,291000,0.4709090909090909
6762817571,1970-01-01 00:00:00.000042491,3,1,2910,35200,1.5,False,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,2590,37500,3,50,550000,550000,47,old,436500,0.20636363636363636
6762819227,1970-01-01 00:00:00.000042491,4,2,2860,3345,2.0,False,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,2860,3596,3,73,499950,499950,22,mid-aged,429000,0.1419141914191419
6762819342,1970-01-01 00:00:00.000042491,4,1,1600,6380,1.0,False,0,3,8,1130,470,1959,0,122022,52.931,-114.496,1090,6380,3,50,495000,495000,67,very-old,240000,0.5151515151515151
6762819448,1970-01-01 00:00:00.000042491,4,1,2190,125452,1.0,False,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3000,125017,3,64,491500,491500,58,old,328500,0.3316378433367243
6762819463,1970-01-01 00:00:00.000042491,2,1,880,6380,1.0,False,0,3,7,880,0,1938,1994,122006,52.9224,-114.512,1340,6380,3,66,490000,490000,88,very-old,132000,0.7306122448979592
6762819732,1970-01-01 00:00:00.000042491,4,2,2710,35868,2.0,False,0,3,9,2710,0,1989,0,122024,52.605,-114.212,2780,36224,3,71,482000,482000,37,old,406500,0.1566390041493776
6762820114,1970-01-01 00:00:00.000042491,5,2,2210,9655,1.0,False,0,3,8,1460,750,1976,0,122017,52.9998,-114.412,2080,8633,3,79,470000,470000,50,old,331500,0.2946808510638298
6762820382,1970-01-01 00:00:00.000042491,3,1,1710,7320,1.0,False,0,3,7,1710,0,1948,0,122014,52.9812,-114.471,2260,8839,1,72,463000,463000,78,very-old,256500,0.44600431965442766
6762820510,1970-01-01 00:00:00.000042491,3,2,2680,5539,2.0,False,0,3,8,2680,0,2013,0,122025,52.7061,-113.924,2990,6037,2,74,459990,459990,13,mid-aged,402000,0.12606795799908693
6762820718,1970-01-01 00:00:00.000042491,3,2,2430,88426,1.0,False,0,4,7,1570,860,1985,0,122025,52.7128,-113.908,1560,56827,3,78,452500,452500,41,old,364500,0.19447513812154696
6762821047,1970-01-01 00:00:00.000042491,3,2,1270,1180,3.0,False,0,3,8,1270,0,2001,0,122026,52.8997,-114.582,1320,1180,3,61,445700,445700,25,mid-aged,190500,0.5725824545658514
6762821205,1970-01-01 00:00:00.000042491,4,2,2160,8119,1.0,False,0,3,8,1080,1080,1966,0,122027,52.7743,-114.367,1850,9000,2,52,440000,440000,60,old,324000,0.2636363636363636
6762821206,1970-01-01 00:00:00.000042491,2,1,800,4850,1.0,False,0,4,7,800,0,1944,0,122026,52.8939,-114.554,1150,4365,2,60,440000,440000,82,very-old,120000,0.7272727272727273
6762821318,1970-01-01 00:00:00.000042491,3,2,1770,2875,2.0,False,0,3,8,1770,0,1990,0,122009,52.7931,-114.587,1770,3833,3,68,439950,439950,36,old,265500,0.39652233208319126
6762821390,1970-01-01 00:00:00.000042491,3,2,1970,35100,2.0,False,0,4,9,1970,0,1977,0,122012,52.6935,-114.181,2340,35100,2,70,437500,437500,49,old,295500,0.32457142857142857
6762821424,1970-01-01 00:00:00.000042491,3,2,1770,1235,3.0,False,0,3,8,1600,170,2007,0,122028,52.9265,-114.532,1680,1203,3,52,436110,436110,19,mid-aged,265500,0.3912086400220128
6762821444,1970-01-01 00:00:00.000042491,4,1,1450,8800,1.0,False,0,4,7,1450,0,1954,0,122027,52.8046,-114.325,1260,8942,2,62,435000,435000,72,very-old,217500,0.5
6762821632,1970-01-01 00:00:00.000042491,4,1,1920,10000,1.0,False,0,4,7,1070,850,1954,0,122027,52.8025,-114.323,1450,10836,2,64,430000,430000,72,very-old,288000,0.3302325581395349
6762822054,1970-01-01 00:00:00.000042491,3,2,2000,8030,1.0,False,0,4,8,1000,1000,1963,0,122029,52.8488,-114.304,2070,8250,1,61,420000,420000,63,very-old,300000,0.2857142857142857
6762822175,1970-01-01 00:00:00.000042491,3,1,1570,6700,1.0,False,0,4,7,1570,0,1956,0,122030,52.8322,-114.324,1570,7300,3,78,419000,419000,70,very-old,235500,0.4379474940334129
6762822578,1970-01-01 00:00:00.000042491,3,2,1930,10460,2.0,False,0,3,8,1930,0,1996,0,122015,52.7238,-114.351,2290,8228,1,63,407500,407500,30,mid-aged,289500,0.28957055214723926
6762822721,1970-01-01 00:00:00.000042491,3,2,1960,13100,1.0,False,2,5,8,1650,310,1957,0,122031,52.6719,-114.53,1960,10518,3,72,403000,403000,69,very-old,294000,0.2704714640198511
6762822791,1970-01-01 00:00:00.000042491,4,2,3630,42884,1.5,False,0,3,9,2300,1330,1979,0,122023,52.4917,-114.38,2830,80148,1,80,400000,400000,47,old,544500,-0.36125
6762823455,1970-01-01 00:00:00.000042491,3,3,1320,1327,2.0,False,0,3,8,1040,280,2008,0,122032,52.8806,-114.573,1440,1263,2,51,385000,385000,18,mid-aged,198000,0.4857142857142857
6762823582,1970-01-01 00:00:00.000042491,4,1,1560,8700,1.0,False,0,4,7,1560,0,1967,0,122033,52.9574,-114.371,2080,8000,3,74,382500,382500,59,old,234000,0.38823529411764707
6762824201,1970-01-01 00:00:00.000042491,4,3,3110,7231,2.0,False,0,3,8,3110,0,1997,0,122023,52.5579,-114.381,2820,7311,3,66,367500,367500,29,mid-aged,466500,-0.2693877551020408
6762824245,1970-01-01 00:00:00.000042491,3,1,1090,6435,1.0,False,0,4,7,1090,0,1955,0,122034,52.7634,-114.555,1340,6435,3,80,365000,365000,71,very-old,163500,0.552054794520548
6762825272,1970-01-01 00:00:00.000042491,3,2,1930,11947,1.0,False,0,4,8,1930,0,1966,0,122035,52.5972,-114.341,2200,12825,2,66,342000,342000,60,old,289500,0.15350877192982457
6762825549,1970-01-01 00:00:00.000042491,2,2,1350,2560,1.0,False,0,3,8,1350,0,1976,0,122005,52.8644,-114.297,1790,2560,1,77,335000,335000,50,old,202500,0.39552238805970147
6762825550,1970-01-01 00:00:00.000042491,3,2,1580,16215,1.0,False,0,4,7,1580,0,1978,0,122036,52.7943,-114.087,1450,16215,3,56,335000,335000,48,old,237000,0.29253731343283584
6762826461,1970-01-01 00:00:00.000042491,3,1,1160,9180,1.0,False,0,3,7,1160,0,1968,0,122037,52.9727,-114.262,1160,10282,1,52,315000,315000,58,old,174000,0.44761904761904764
6762826606,1970-01-01 00:00:00.000042491,3,1,1340,7912,1.5,False,0,3,7,1340,0,1955,0,122038,52.9958,-114.529,1480,7940,3,65,313000,313000,71,very-old,201000,0.35782747603833864
6762826811,1970-01-01 00:00:00.000042491,2,1,850,6174,1.0,False,0,4,7,850,0,1950,0,122014,52.9652,-114.518,1100,6174,1,60,308500,308500,76,very-old,127500,0.586709886547812
6762827056,1970-01-01 00:00:00.000042491,3,2,2540,5050,2.0,False,0,3,7,2540,0,2006,0,122035,52.5658,-114.245,2280,5050,2,64,300000,300000,20,mid-aged,381000,-0.27
6762827347,1970-01-01 00:00:00.000042491,2,2,1630,1368,2.0,False,0,3,7,1280,350,2009,0,122034,52.7789,-114.553,1590,2306,1,74,295000,295000,17,mid-aged,244500,0.1711864406779661
6762827693,1970-01-01 00:00:00.000042491,3,3,1850,19966,1.0,False,0,4,7,1090,760,1992,0,122024,52.5793,-114.224,1410,6715,2,58,287200,287200,34,old,277500,0.03377437325905292
6762827749,1970-01-01 00:00:00.000042491,4,2,2200,9397,2.0,False,0,3,8,2200,0,1987,0,122039,52.5706,-114.459,2310,9176,3,80,285000,285000,39,old,330000,-0.15789473684210525
6762827750,1970-01-01 00:00:00.000042491,3,2,2090,10834,1.0,False,0,4,8,1360,730,1987,0,122040,52.5837,-114.493,1750,8595,2,56,285000,285000,39,old,313500,-0.1
6762827836,1970-01-01 00:00:00.000042491,3,1,1800,23103,1.0,False,0,3,7,1800,0,1968,0,122041,52.8817,-114.096,1410,18163,3,62,284000,284000,58,old,270000,0.04929577464788732
6762828162,1970-01-01 00:00:00.000042491,3,1,1180,10277,1.0,False,0,3,6,1180,0,1983,0,122025,52.718,-113.977,1680,11104,3,78,275000,275000,43,old,177000,0.3563636363636364
6762828790,1970-01-01 00:00:00.000042491,4,2,1480,8625,1.0,False,0,4,7,1480,0,1974,0,122042,52.692,-114.383,2130,8502,1,60,260000,260000,52,old,222000,0.14615384615384616
6762828945,1970-01-01 00:00:00.000042491,3,1,1370,5858,1.0,False,0,3,7,1370,0,1987,0,122043,52.6115,-114.503,1400,7500,3,56,257950,257950,39,old,205500,0.20333397945338244
6762829578,1970-01-01 00:00:00.000042491,3,1,1200,9720,1.0,False,0,4,7,1200,0,1965,0,122035,52.6525,-114.343,1380,10284,3,77,242500,242500,61,very-old,180000,0.25773195876288657
6762829789,1970-01-01 00:00:00.000042491,2,1,1210,9400,1.0,False,0,2,6,1210,0,1949,0,122034,52.7642,-114.55,1580,6026,3,73,235000,235000,77,very-old,181500,0.2276595744680851
6762815750,1970-01-01 00:00:00.000042492,4,2,2920,6605,2.0,False,0,3,8,2920,0,2012,0,122015,52.7209,-114.334,3030,6605,1,62,625000,625000,14,mid-aged,438000,0.2992
6762817521,1970-01-01 00:00:00.000042492,2,1,900,5000,1.0,False,0,3,7,900,0,1944,0,122007,52.9183,-114.585,1280,5000,1,68,553000,553000,82,very-old,135000,0.755877034358047
6762823736,1970-01-01 00:00:00.000042492,3,2,1650,14054,1.0,False,0,4,7,1130,520,1986,0,122012,52.7121,-114.207,1940,87555,2,57,379880,379880,40,old,247500,0.34847846688427925
6762826674,1970-01-01 00:00:00.000042492,3,1,1010,9945,1.0,False,0,4,6,1010,0,1973,0,122008,52.7624,-113.953,1390,12710,3,60,310000,310000,53,old,151500,0.5112903225806451
6762813188,1970-01-01 00:00:00.000042493,3,2,2850,7130,2.0,False,0,3,10,1990,860,1980,0,122044,52.833,-114.479,2280,6459,1,52,783500,783500,46,old,427500,0.4543714103382259
6762813282,1970-01-01 00:00:00.000042493,2,2,2680,7392,1.0,False,0,3,9,2680,0,2004,0,122045,52.947,-114.216,2315,7045,2,65,775000,775000,22,mid-aged,402000,0.48129032258064514
6762815716,1970-01-01 00:00:00.000042493,4,2,2280,6010,1.0,False,0,3,7,1140,1140,1900,0,122044,52.8334,-114.479,2240,6200,1,51,628000,628000,126,very-old,342000,0.4554140127388535
6762824246,1970-01-01 00:00:00.000042493,3,2,2200,7350,1.0,False,0,5,8,1570,630,1988,0,122046,52.6695,-114.351,2350,7557,2,53,365000,365000,38,old,330000,0.0958904109589041
6762825730,1970-01-01 00:00:00.000042493,4,2,2530,9933,2.0,False,2,3,8,2010,520,1990,0,122023,52.4954,-114.406,2140,9933,2,59,331950,331950,36,old,379500,-0.14324446452779033
6762810164,1970-01-01 00:00:00.000042494,7,8,13540,307752,3.0,False,4,3,12,9410,4130,1999,0,122045,52.8975,-114.176,4850,217800,1,55,2280000,2280000,27,mid-aged,2031000,0.10921052631578948
6762810615,1970-01-01 00:00:00.000042494,2,2,2220,4000,2.0,False,0,3,9,2220,0,2000,0,122047,52.8664,-114.47,1870,4000,3,67,1430000,1430000,26,mid-aged,333000,0.7671328671328671
6762810636,1970-01-01 00:00:00.000042494,5,3,4010,8510,2.0,False,1,5,9,2850,1160,1971,0,122004,52.8878,-114.476,2610,6128,1,50,1400000,1400000,55,old,601500,0.5703571428571429
6762811248,1970-01-01 00:00:00.000042494,4,2,4340,141570,2.5,False,0,3,11,4340,0,1992,0,122045,52.9105,-114.238,2720,97138,1,73,1090000,1090000,34,old,651000,0.40275229357798165
6762811411,1970-01-01 00:00:00.000042494,5,2,3190,16920,1.0,False,3,3,9,1690,1500,1976,0,122027,52.7941,-114.35,3100,13100,1,53,1030000,1030000,50,old,478500,0.5354368932038835
6762812053,1970-01-01 00:00:00.000042494,3,1,1330,77972,1.0,False,0,3,7,1330,0,1928,1954,122010,52.9191,-114.349,1340,17689,3,52,900000,900000,98,very-old,199500,0.7783333333333333
6762812148,1970-01-01 00:00:00.000042494,4,4,4420,5750,2.0,False,0,3,10,3410,1010,2006,0,122012,52.7704,-114.263,4420,5750,1,57,890000,890000,20,mid-aged,663000,0.2550561797752809
6762812149,1970-01-01 00:00:00.000042494,5,3,4490,6000,2.0,False,0,3,10,3200,1290,2006,0,122012,52.7696,-114.263,4530,6000,2,70,890000,890000,20,mid-aged,673500,0.24325842696629213
6762812331,1970-01-01 00:00:00.000042494,4,3,3690,9892,2.0,False,0,3,10,3690,0,1998,0,122020,52.8237,-114.172,3430,11294,3,62,865000,865000,28,mid-aged,553500,0.3601156069364162
6762812415,1970-01-01 00:00:00.000042494,4,2,2600,5390,1.0,False,0,4,8,1300,1300,1960,0,122032,52.8682,-114.587,2550,5600,2,69,855000,855000,66,very-old,390000,0.543859649122807
6762812659,1970-01-01 00:00:00.000042494,4,3,2170,4000,2.0,False,0,4,9,1610,560,1982,2011,122047,52.8496,-114.482,1670,4000,3,73,831000,831000,44,old,325500,0.6083032490974729
6762812664,1970-01-01 00:00:00.000042494,4,2,3400,9692,2.0,False,0,3,9,3400,0,2007,0,122005,52.938,-114.299,3070,7375,3,58,830000,830000,19,mid-aged,510000,0.3855421686746988
6762812761,1970-01-01 00:00:00.000042494,6,1,2920,5000,2.5,False,0,4,9,2780,140,1908,0,122044,52.8324,-114.485,2020,5000,3,68,823000,823000,118,very-old,438000,0.46780072904009723
6762812961,1970-01-01 00:00:00.000042494,5,2,3180,13806,2.0,False,0,4,10,3180,0,1990,0,122010,52.882,-114.372,3180,13798,1,76,800866,800866,36,old,477000,0.404394742691037
6762812963,1970-01-01 00:00:00.000042494,3,2,3240,7857,2.0,False,0,3,10,3240,0,1994,0,122020,52.8157,-114.228,2970,7857,3,66,800000,800000,32,old,486000,0.3925
6762813152,1970-01-01 00:00:00.000042494,3,1,1330,7500,1.0,False,0,3,8,1330,0,1961,0,122048,52.8374,-114.385,1690,7800,3,56,787000,787000,65,very-old,199500,0.7465057179161372
6762813210,1970-01-01 00:00:00.000042494,4,2,2730,10281,2.0,False,2,3,9,2730,0,1996,0,122019,52.8527,-114.219,2750,7220,3,79,780000,780000,30,mid-aged,409500,0.475
6762813361,1970-01-01 00:00:00.000042494,3,2,2350,5700,1.5,False,0,4,8,1810,540,1939,0,122047,52.869,-114.5,2170,6000,1,77,770000,770000,87,very-old,352500,0.5422077922077922
6762813551,1970-01-01 00:00:00.000042494,4,2,2120,10202,1.0,False,0,4,7,1620,500,1960,0,122049,52.8158,-114.36,1570,10762,2,73,755000,755000,66,very-old,318000,0.5788079470198676
6762813766,1970-01-01 00:00:00.000042494,4,1,2010,3600,1.5,False,0,3,7,2010,0,1902,0,122003,52.8637,-114.561,2010,3600,2,55,740000,740000,124,very-old,301500,0.5925675675675676
6762813838,1970-01-01 00:00:00.000042494,4,2,3180,21904,2.0,False,3,3,9,3180,0,2000,0,122015,52.745,-114.307,3715,29170,2,77,736500,736500,26,mid-aged,477000,0.35234215885947046
6762814206,1970-01-01 00:00:00.000042494,4,2,2450,4247,2.0,False,0,3,8,2450,0,2013,0,122005,52.9348,-114.303,2970,4685,1,75,712198,712198,13,mid-aged,367500,0.4839918112659682
6762814291,1970-01-01 00:00:00.000042494,3,2,2490,4343,2.0,False,0,3,9,2490,0,2003,0,122011,52.7793,-114.183,2130,4106,3,59,705380,705380,23,mid-aged,373500,0.47049817119850296
6762814896,1970-01-01 00:00:00.000042494,3,2,1680,2000,3.0,False,0,3,9,1680,0,1909,1998,122004,52.8904,-114.48,1950,5000,3,69,670000,670000,117,very-old,252000,0.6238805970149254
6762814966,1970-01-01 00:00:00.000042494,4,2,2800,5900,1.0,False,0,3,8,1660,1140,1963,0,122006,52.9109,-114.476,2580,5900,2,63,665000,665000,63,very-old,420000,0.3684210526315789
6762815131,1970-01-01 00:00:00.000042494,4,1,1390,4240,1.0,False,0,3,7,1050,340,1924,0,122028,52.8896,-114.528,1810,4240,1,68,657100,657100,102,very-old,208500,0.6826966976107137
6762815226,1970-01-01 00:00:00.000042494,3,1,2160,9000,1.0,False,2,4,8,1400,760,1949,0,122050,52.9541,-114.559,3010,9000,2,75,650000,650000,77,very-old,324000,0.5015384615384615
6762815643,1970-01-01 00:00:00.000042494,4,2,2440,6651,2.0,False,0,3,9,2440,0,2014,0,122007,52.9271,-114.561,1350,7653,2,77,631625,631625,12,mid-aged,366000,0.42054225212744906
6762815727,1970-01-01 00:00:00.000042494,4,2,1990,7712,1.0,False,0,3,8,1210,780,1973,0,122012,52.7988,-114.277,1720,7393,3,61,627000,627000,53,old,298500,0.5239234449760766
6762815880,1970-01-01 00:00:00.000042494,3,1,1480,2185,2.5,False,0,3,9,1480,0,2005,0,122033,52.9245,-114.36,1480,2441,2,52,620000,620000,21,mid-aged,222000,0.6419354838709678
6762815955,1970-01-01 00:00:00.000042494,3,2,1800,5000,1.0,False,0,4,7,1080,720,1942,0,122006,52.9038,-114.487,1800,5000,1,69,618500,618500,84,very-old,270000,0.5634599838318513
6762815987,1970-01-01 00:00:00.000042494,4,1,2300,11700,1.0,False,0,4,9,1960,340,1977,0,122005,52.8631,-114.284,2840,12000,3,50,615000,615000,49,old,345000,0.43902439024390244
6762816274,1970-01-01 00:00:00.000042494,3,1,1670,39639,1.0,False,0,4,8,1670,0,1976,1992,122020,52.8229,-114.179,2330,30492,1,77,600000,600000,50,old,250500,0.5825
6762816275,1970-01-01 00:00:00.000042494,3,1,1880,6360,1.0,False,0,4,7,1040,840,1945,0,122006,52.9178,-114.476,1770,6175,2,57,600000,600000,81,very-old,282000,0.53
6762816667,1970-01-01 00:00:00.000042494,2,1,1770,8640,1.5,False,0,3,6,1520,250,1949,0,122007,52.9226,-114.553,1060,4804,3,77,585000,585000,77,very-old,265500,0.5461538461538461
6762816779,1970-01-01 00:00:00.000042494,2,1,2540,7000,1.0,False,0,5,8,1320,1220,1942,0,122051,52.7559,-114.451,2160,6000,3,77,580000,580000,84,very-old,381000,0.3431034482758621
6762817053,1970-01-01 00:00:00.000042494,3,2,2010,6000,1.0,False,0,3,8,1330,680,1975,0,122005,52.9212,-114.305,2080,8260,2,78,570000,570000,51,old,301500,0.4710526315789474
6762817314,1970-01-01 00:00:00.000042494,3,2,1900,8744,2.0,False,0,3,8,1900,0,1987,0,122019,52.85,-114.233,2030,8744,2,58,560000,560000,39,old,285000,0.49107142857142855
6762817450,1970-01-01 00:00:00.000042494,3,2,1940,3211,2.0,False,0,3,8,1940,0,2009,0,122012,52.7944,-114.283,1880,3078,3,60,555000,555000,17,mid-aged,291000,0.4756756756756757
6762817755,1970-01-01 00:00:00.000042494,2,1,1140,5400,1.0,False,0,5,7,1140,0,1908,0,122047,52.8505,-114.484,1520,4800,1,68,549000,549000,118,very-old,171000,0.6885245901639344
6762817756,1970-01-01 00:00:00.000042494,4,2,2910,6338,2.0,False,0,3,8,2910,0,2008,0,122015,52.7104,-114.316,2500,5877,3,54,549000,549000,18,mid-aged,436500,0.20491803278688525
6762817929,1970-01-01 00:00:00.000042494,5,2,2740,8426,1.0,False,0,4,8,1370,1370,1960,0,122027,52.7863,-114.374,2020,8783,1,69,541125,541125,66,very-old,411000,0.24047124047124047
6762818230,1970-01-01 00:00:00.000042494,2,3,1270,1175,2.0,False,0,3,8,1110,160,2000,0,122028,52.8934,-114.53,1290,1800,1,71,531000,531000,26,mid-aged,190500,0.6412429378531074
6762818400,1970-01-01 00:00:00.000042494,5,1,2550,71874,1.0,False,0,5,7,1810,740,1960,0,122012,52.7145,-114.27,2170,51400,2,65,525888,525888,66,very-old,382500,0.27265881708652795
6762818543,1970-01-01 00:00:00.000042494,3,1,1560,5520,1.0,False,0,4,6,780,780,1944,0,122032,52.8815,-114.589,1470,6000,3,70,524000,524000,82,very-old,234000,0.5534351145038168
6762818924,1970-01-01 00:00:00.000042494,3,2,1790,2700,2.0,False,0,3,8,1790,0,2010,0,122012,52.794,-114.283,1890,3078,1,79,509900,509900,16,mid-aged,268500,0.47342616199254756
6762819061,1970-01-01 00:00:00.000042494,4,1,2070,7519,1.0,False,0,3,7,1160,910,1963,0,122029,52.862,-114.309,1730,7519,2,56,501000,501000,63,very-old,310500,0.38023952095808383
6762819262,1970-01-01 00:00:00.000042494,4,2,2910,6479,2.0,False,0,3,7,2910,0,2006,0,122008,52.7702,-114.077,2320,5178,1,50,499000,499000,20,mid-aged,436500,0.125250501002004
6762819312,1970-01-01 00:00:00.000042494,6,2,3200,9200,1.0,False,2,4,8,1600,1600,1953,0,122052,52.722,-114.554,2220,9500,2,56,497300,497300,73,very-old,480000,0.03478785441383471
6762819594,1970-01-01 00:00:00.000042494,4,1,2010,9211,1.0,False,0,3,7,1470,540,1977,0,122033,52.9506,-114.361,1840,8500,3,62,487585,487585,49,old,301500,0.38164627705938453
6762819620,1970-01-01 00:00:00.000042494,4,3,2340,7048,1.0,False,0,4,8,1340,1000,1979,0,122033,52.9606,-114.417,1440,8088,1,53,485000,485000,47,old,351000,0.27628865979381445
6762819874,1970-01-01 00:00:00.000042494,3,2,3040,4535,2.0,False,0,3,9,3040,0,2007,0,122053,52.74,-114.375,2670,4666,2,79,478000,478000,19,mid-aged,456000,0.04602510460251046
6762820970,1970-01-01 00:00:00.000042494,4,2,1480,3844,1.5,False,0,5,7,1480,0,1928,0,122038,52.9342,-114.542,1480,3844,1,73,449250,449250,98,very-old,222000,0.5058430717863105
6762821445,1970-01-01 00:00:00.000042494,5,2,1840,9240,1.0,False,0,4,7,1540,300,1942,1958,122038,52.9608,-114.53,1200,5250,3,78,435000,435000,84,very-old,276000,0.36551724137931035
6762822174,1970-01-01 00:00:00.000042494,2,2,1590,1426,2.0,False,0,3,8,1590,0,2014,0,122011,52.7741,-114.203,1590,1426,2,80,419190,419190,12,mid-aged,238500,0.43104558791955916
6762822204,1970-01-01 00:00:00.000042494,3,2,1410,6030,1.5,False,0,4,7,1410,0,1930,0,122028,52.9294,-114.537,1410,6300,2,51,418000,418000,96,very-old,211500,0.49401913875598086
6762822246,1970-01-01 00:00:00.000042494,3,2,1408,989,3.0,False,0,3,8,1408,0,2005,0,122006,52.9156,-114.505,1408,1342,1,64,416286,416286,21,mid-aged,211200,0.49265649097015035
6762822266,1970-01-01 00:00:00.000042494,3,2,1620,998,2.5,False,0,3,8,1540,80,2010,0,122012,52.7701,-114.217,1620,1299,3,59,415000,415000,16,mid-aged,243000,0.41445783132530123
6762822453,1970-01-01 00:00:00.000042494,3,2,1800,36704,1.0,False,0,4,8,1360,440,1978,0,122012,52.6988,-114.203,2730,36404,1,74,410000,410000,48,old,270000,0.34146341463414637
6762822604,1970-01-01 00:00:00.000042494,3,2,1410,1332,3.0,False,0,3,8,1410,0,2005,0,122028,52.9216,-114.53,1430,1448,2,70,406100,406100,21,mid-aged,211500,0.4791923171632603
